Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,home_clean,team_clean,intFormedYear,intStadiumCapacity,strLeague,anios_historia,total_goles_partido,diferencia_goles,resultado_target,cluster_kmeans
15/01/2023,Getafe,Espanol,1,2,A,10,10,2,4,5,1,getafe,getafe,1946.0,17393.0,Spanish La Liga,80.0,3,-1,Derrota_Local,2
15/01/2023,Almeria,Ath Madrid,1,1,D,14,12,3,6,3,4,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
16/01/2023,Cadiz,Elche,1,1,D,16,12,3,5,3,6,cadiz,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
20/01/2023,Mallorca,Celta,1,0,H,8,10,3,3,4,6,mallorca,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
21/01/2023,Vallecano,Sociedad,0,2,A,14,12,2,7,3,4,vallecano,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
21/01/2023,Espanol,Betis,1,0,H,8,13,2,4,7,4,espanol,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
21/01/2023,Ath Madrid,Valladolid,3,0,H,18,7,8,1,4,1,ath madrid,,1900.0,38279.0,Liga_Desconocida,126.0,3,3,Victoria_Local,1
21/01/2023,Sevilla,Cadiz,1,0,H,17,4,9,1,8,1,sevilla,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
22/01/2023,Villarreal,Girona,1,0,H,19,8,9,1,3,2,villarreal,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
22/01/2023,Elche,Osasuna,1,1,D,13,8,4,4,7,2,elche,elche,1923.0,36017.0,Spanish La Liga,103.0,2,0,Empate,0
22/01/2023,Barcelona,Getafe,1,0,H,8,7,4,3,4,2,barcelona,barcelona,1899.0,99354.0,Spanish La Liga,127.0,1,1,Victoria_Local,1
22/01/2023,Ath Bilbao,Real Madrid,0,2,A,18,10,3,4,12,2,ath bilbao,,1900.0,38279.0,Liga_Desconocida,126.0,2,-2,Derrota_Local,2
23/01/2023,Valencia,Almeria,2,2,D,16,14,6,3,6,2,valencia,,1900.0,38279.0,Liga_Desconocida,126.0,4,0,Empate,2
27/01/2023,Almeria,Espanol,3,1,H,19,6,7,3,2,2,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,4,2,Victoria_Local,1
28/01/2023,Cadiz,Mallorca,2,0,H,11,9,4,2,6,2,cadiz,,1900.0,38279.0,Liga_Desconocida,126.0,2,2,Victoria_Local,0
28/01/2023,Girona,Barcelona,0,1,A,8,8,2,3,4,2,girona,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
28/01/2023,Sevilla,Elche,3,0,H,22,6,8,1,5,2,sevilla,,1900.0,38279.0,Liga_Desconocida,126.0,3,3,Victoria_Local,1
28/01/2023,Getafe,Betis,0,1,A,6,13,1,2,6,1,getafe,getafe,1946.0,17393.0,Spanish La Liga,80.0,1,-1,Derrota_Local,0
29/01/2023,Valladolid,Valencia,1,0,H,13,15,6,2,4,7,valladolid,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
29/01/2023,Osasuna,Ath Madrid,0,1,A,14,13,4,5,5,4,osasuna,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
29/01/2023,Celta,Ath Bilbao,1,0,H,9,5,3,0,2,5,celta,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
29/01/2023,Real Madrid,Sociedad,0,0,D,20,8,7,3,10,3,madrid,madrid,1903.0,67703.0,Spanish La Liga,123.0,0,0,Empate,0
30/01/2023,Villarreal,Vallecano,0,1,A,12,11,3,3,5,4,villarreal,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
01/02/2023,Betis,Barcelona,1,2,A,5,13,1,3,1,6,betis,,1900.0,38279.0,Liga_Desconocida,126.0,3,-1,Derrota_Local,2
02/02/2023,Real Madrid,Valencia,2,0,H,19,4,7,0,6,6,madrid,madrid,1903.0,67703.0,Spanish La Liga,123.0,2,2,Victoria_Local,1
03/02/2023,Ath Bilbao,Cadiz,4,1,H,17,15,9,3,0,3,ath bilbao,,1900.0,38279.0,Liga_Desconocida,126.0,5,3,Victoria_Local,1
04/02/2023,Espanol,Osasuna,1,1,D,9,9,4,3,4,3,espanol,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
04/02/2023,Elche,Villarreal,3,1,H,18,14,7,2,6,10,elche,elche,1923.0,36017.0,Spanish La Liga,103.0,4,2,Victoria_Local,0
04/02/2023,Ath Madrid,Getafe,1,1,D,12,9,4,1,8,0,ath madrid,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
04/02/2023,Betis,Celta,3,4,A,15,9,7,7,5,5,betis,,1900.0,38279.0,Liga_Desconocida,126.0,7,-1,Derrota_Local,2
05/02/2023,Mallorca,Real Madrid,1,0,H,4,20,1,1,1,12,mallorca,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
05/02/2023,Girona,Valencia,1,0,H,20,8,8,4,8,4,girona,,1900.0,38279.0,Liga_Desconocida,126.0,1,1,Victoria_Local,0
05/02/2023,Sociedad,Valladolid,0,1,A,15,7,4,2,0,4,sociedad,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
05/02/2023,Barcelona,Sevilla,3,0,H,16,3,7,1,8,3,barcelona,barcelona,1899.0,99354.0,Spanish La Liga,127.0,3,3,Victoria_Local,1
06/02/2023,Vallecano,Almeria,2,0,H,15,14,11,5,3,7,vallecano,,1900.0,38279.0,Liga_Desconocida,126.0,2,2,Victoria_Local,0
10/02/2023,Cadiz,Girona,2,0,H,12,7,3,1,5,6,cadiz,,1900.0,38279.0,Liga_Desconocida,126.0,2,2,Victoria_Local,0
11/02/2023,Almeria,Betis,2,3,A,16,12,9,7,8,2,almeria,,1900.0,38279.0,Liga_Desconocida,126.0,5,-1,Derrota_Local,2
11/02/2023,Sevilla,Mallorca,2,0,H,15,6,6,0,8,2,sevilla,,1900.0,38279.0,Liga_Desconocida,126.0,2,2,Victoria_Local,0
11/02/2023,Valencia,Ath Bilbao,1,2,A,18,11,8,3,7,1,valencia,,1900.0,38279.0,Liga_Desconocida,126.0,3,-1,Derrota_Local,2
12/02/2023,Getafe,Vallecano,1,1,D,13,19,4,4,5,6,getafe,getafe,1946.0,17393.0,Spanish La Liga,80.0,2,0,Empate,0
12/02/2023,Celta,Ath Madrid,0,1,A,14,10,3,2,7,5,celta,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
12/02/2023,Valladolid,Osasuna,0,0,D,18,15,5,4,10,4,valladolid,,1900.0,38279.0,Liga_Desconocida,126.0,0,0,Empate,0
12/02/2023,Villarreal,Barcelona,0,1,A,11,7,2,4,6,2,villarreal,,1900.0,38279.0,Liga_Desconocida,126.0,1,-1,Derrota_Local,0
13/02/2023,Espanol,Sociedad,2,3,A,10,11,6,5,4,3,espanol,,1900.0,38279.0,Liga_Desconocida,126.0,5,-1,Derrota_Local,2
15/02/2023,Real Madrid,Elche,4,0,H,26,7,13,0,6,4,madrid,madrid,1903.0,67703.0,Spanish La Liga,123.0,4,4,Victoria_Local,1
17/02/2023,Girona,Almeria,6,2,H,14,16,8,4,1,7,girona,,1900.0,38279.0,Liga_Desconocida,126.0,8,4,Victoria_Local,1
18/02/2023,Sociedad,Celta,1,1,D,9,18,3,4,3,7,sociedad,,1900.0,38279.0,Liga_Desconocida,126.0,2,0,Empate,0
18/02/2023,Betis,Valladolid,2,1,H,16,17,10,3,4,6,betis,,1900.0,38279.0,Liga_Desconocida,126.0,3,1,Victoria_Local,0
18/02/2023,Mallorca,Villarreal,4,2,H,13,8,5,4,4,4,mallorca,,1900.0,38279.0,Liga_Desconocida,126.0,6,2,Victoria_Local,1
